,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,saint-philippe,90,RE,1615615211,65,-21.3585,55.7679,84.2,20.71
1,ushuaia,75,AR,1615615214,93,-54.8,-68.3,41.0,43.73
2,ahipara,59,NZ,1615615216,85,-35.1667,173.1667,66.97,3.33
3,saint-gilles,0,FR,1615615216,81,43.6766,4.4302,46.4,2.3
4,zima,93,RU,1615615216,96,53.9202,102.0442,30.85,3.91
5,bengkulu,77,ID,1615615217,65,-3.8004,102.2655,84.81,9.62
6,cape town,40,ZA,1615615217,88,-33.9258,18.4232,68.0,13.8
7,esperance,40,AU,1615615218,48,-33.8667,121.9,66.2,14.97
8,oliveira,38,BR,1615615218,93,-20.6964,-44.8272,62.94,3.47
9,vangaindrano,16,MG,1615615219,70,-23.35,47.6,78.51,8.37
10,albany,8,US,1615615120,42,42.6001,-73.9662,32.0,7
11,anadyr,75,RU,1615615219,93,64.75,177.4833,32.0,38.03
12,saint-joseph,90,RE,1615615220,65,-21.3667,55.6167,84.2,20.71
13,umzimvubu,,,,,,,,
14,nishihara,75,JP,1615615220,48,26.1842,127.7558,69.8,11.5
15,dawei,8,MM,1615615221,43,14.0833,98.2,93.6,10.94
16,punta arenas,20,CL,1615615221,53,-53.15,-70.9167,46.4,11.5
17,ponta do sol,100,PT,1615615222,69,32.6667,-17.1,55.99,1.99
18,tawzar,,,,,,,,
19,bluff,0,NZ,1615615222,64,-46.6,168.3333,64.0,5.99
20,butaritari,75,KI,1615615223,76,3.0707,172.7902,81.55,11.27
21,bambous virieux,40,MU,1615615223,70,-20.3428,57.7575,84.99,11.5
22,busselton,0,AU,1615615223,51,-33.65,115.3333,70.0,4
23,mys shmidta,,,,,,,,
24,dera din panah,,,,,,,,
25,mar del plata,0,AR,1615615126,87,-38.0023,-57.5575,60.01,5.75
26,hilo,75,US,1615615224,78,19.7297,-155.09,73.4,9.22
27,praia da vitoria,75,PT,1615615224,94,38.7333,-27.0667,57.99,12.73
28,atuona,41,PF,1615615225,58,-9.8,-139.0333,79.74,3.42
29,kiama,64,AU,1615615225,80,-34.6833,150.8667,86.0,8.99
30,warrensburg,75,US,1615615226,93,38.7628,-93.7361,44.6,5.75
31,taolanaro,,,,,,,,
32,pindiga,65,NG,1615615226,63,9.9833,10.9333,77.49,8.79
33,puerto ayora,2,EC,1615615226,93,-0.7393,-90.3518,75.99,1.01
34,acapulco,0,MX,1615614935,76,16.8634,-99.8901,74.48,3.96
35,rikitea,86,PF,1615615227,76,-23.1203,-134.9692,79.75,9.17
36,hay river,51,CA,1615615227,65,60.8156,-115.7999,-2.2,5.75
37,vaini,75,TO,1615615228,78,-21.2,-175.2,78.8,9.22
38,tasiilaq,90,GL,1615615228,86,65.6145,-37.6368,17.6,2.3
39,fairbanks,1,US,1615614953,76,64.8378,-147.7164,-16.01,2.44
40,kalmunai,22,LK,1615615077,71,7.4167,81.8167,84.7,11.1
41,umkomaas,0,ZA,1615615229,93,-30.2067,30.7978,75.0,10.89
42,barentsburg,,,,,,,,
43,aksu,66,CN,1615615229,21,41.1231,80.2644,61.23,1.21
44,huntingdon,67,GB,1615615230,77,52.3305,-0.1865,43.0,17
45,upernavik,15,GL,1615615230,64,72.7868,-56.1549,-2.79,2.42
46,tuatapere,0,NZ,1615615230,64,-46.1333,167.6833,64.0,5.99
47,luderitz,6,NA,1615615231,64,-26.6481,15.1594,68.0,6.44
48,east london,0,ZA,1615615231,65,-33.0153,27.9116,78.8,8.05
49,tsihombe,,,,,,,,
50,san vicente,0,AR,1615615232,76,-26.6167,-54.1333,58.78,2.33
51,chengde,40,CN,1615615232,37,40.9725,117.9361,54.21,4.18
52,tutova,90,RO,1615615232,93,46.1167,27.55,33.8,12.66
53,chokurdakh,0,RU,1615615233,94,70.6333,147.9167,-17.77,2.53
54,urfa,,,,,,,,
55,vaitupu,,,,,,,,
56,mulki,40,IN,1615615233,58,13.1,74.8,89.6,3.44
57,meridian,1,US,1615615161,48,43.6121,-116.3915,39.2,4.43
58,christchurch,0,NZ,1615615209,67,-43.5333,172.6333,61.0,26.46
59,okha,59,RU,1615615234,89,53.5739,142.9478,32.36,9.53
60,hermanus,44,ZA,1615615234,88,-34.4187,19.2345,63.0,5.99
61,hithadhoo,6,MV,1615615234,61,-0.6,73.0833,83.62,4.68
62,vila velha,0,BR,1615615235,69,-20.3297,-40.2925,77.0,6.91
