,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,diamantina,0.0,BR,1615613897,93.0,-18.2494,-43.6003,59.7,2.51
1,avera,1.0,US,1615613898,88.0,33.194,-82.5271,62.01,6.17
2,bitlis,0.0,TR,1615613690,79.0,38.5,42.25,14.0,3.44
3,itoman,75.0,JP,1615613898,56.0,26.1247,127.6694,69.01,14.97
4,hobart,90.0,AU,1615613743,42.0,-42.8794,147.3294,68.0,21.85
5,roros,90.0,NO,1615613898,92.0,62.5747,11.3842,14.0,1.14
6,airai,95.0,TL,1615613898,89.0,-8.9266,125.4092,69.91,0.25
7,sola,100.0,VU,1615613899,89.0,-13.8833,167.55,76.84,11.14
8,banda aceh,40.0,ID,1615613899,61.0,5.5577,95.3222,87.28,8.55
9,saint-pierre,90.0,RE,1615613899,57.0,-21.3393,55.4781,82.4,5.75
10,rikitea,86.0,PF,1615613899,76.0,-23.1203,-134.9692,79.75,9.17
11,port alfred,76.0,ZA,1615613900,41.0,-33.5906,26.891,85.12,9.91
12,atuona,41.0,PF,1615613635,58.0,-9.8,-139.0333,79.74,3.42
13,vaini,75.0,TO,1615613900,78.0,-21.2,-175.2,78.8,9.22
14,narok,76.0,KE,1615613900,59.0,-1.0783,35.8601,68.0,7.14
15,amahai,79.0,ID,1615613900,72.0,-3.3333,128.9167,84.34,5.44
16,beidao,0.0,CN,1615613901,31.0,34.5686,105.8933,70.65,14.47
17,east london,0.0,ZA,1615613901,65.0,-33.0153,27.9116,78.8,8.05
18,luderitz,6.0,NA,1615613901,64.0,-26.6481,15.1594,68.0,6.44
19,ponta do sol,100.0,PT,1615613834,87.0,32.6667,-17.1,55.99,1.99
20,saint george,1.0,US,1615613833,93.0,37.1041,-113.5841,39.0,0.47
21,vanavara,100.0,RU,1615613901,86.0,60.34,102.2797,14.79,11.12
22,ola,3.0,RU,1615613902,77.0,59.5833,151.2833,8.96,3.33
23,lebu,1.0,CL,1615613837,87.0,-37.6167,-73.65,55.56,10.0
24,puteyets,84.0,RU,1615613902,88.0,65.1716,57.091,14.9,10.96
25,tautira,40.0,PF,1615613902,83.0,-17.7333,-149.15,82.0,5.75
26,albany,8.0,US,1615613760,40.0,42.6001,-73.9662,33.01,11.99
27,aykhal,100.0,RU,1615613902,90.0,66.0,111.5,8.89,10.83
28,busselton,0.0,AU,1615613903,51.0,-33.65,115.3333,70.0,4.0
29,faanui,44.0,PF,1615613903,63.0,-16.4833,-151.75,83.34,1.1
30,daru,95.0,PG,1615613903,69.0,-9.0763,143.2092,84.81,7.81
31,adrar,58.0,MR,1615613903,18.0,20.5022,-10.0711,59.85,10.69
32,saskylakh,9.0,RU,1615613903,88.0,71.9167,114.0833,-12.95,15.7
33,yellowknife,1.0,CA,1615613904,71.0,62.456,-114.3525,-2.0,11.5
34,road town,2.0,VG,1615613904,85.0,18.4167,-64.6167,75.0,3.0
35,kangaba,17.0,ML,1615613904,19.0,11.9333,-8.4167,66.92,6.55
36,alta floresta,35.0,BR,1615613904,95.0,-9.8756,-56.0861,70.29,1.28
37,barentsburg,,,,,,,,
38,thompson,40.0,CA,1615613905,73.0,55.7435,-97.8558,15.8,3.44
39,mawlaik,0.0,MM,1615613905,13.0,23.6333,94.4167,103.06,1.79
40,bredasdorp,32.0,ZA,1615613905,94.0,-34.5322,20.0403,53.6,5.75
41,wuwei,6.0,CN,1615613905,4.0,37.9281,102.6414,74.75,8.75
42,tuktoyaktuk,90.0,CA,1615613906,77.0,69.4541,-133.0374,-7.6,14.97
43,kavaratti,0.0,IN,1615613906,63.0,10.5669,72.642,83.66,5.93
44,richards bay,2.0,ZA,1615613906,77.0,-28.783,32.0377,76.87,11.61
45,cabo san lucas,65.0,MX,1615613906,77.0,22.8909,-109.9124,64.99,1.99
46,tuatapere,0.0,NZ,1615613907,64.0,-46.1333,167.6833,64.99,7.0
47,bereda,89.0,ES,1615613907,95.0,43.2686,-7.5406,44.01,8.01
48,ushuaia,75.0,AR,1615613788,93.0,-54.8,-68.3,41.0,43.73
49,oksbol,75.0,DK,1615613907,93.0,55.6268,8.2876,39.2,13.8
50,kununurra,40.0,AU,1615613888,59.0,-15.7667,128.7333,93.2,6.91
51,fortuna,90.0,US,1615613907,87.0,40.5982,-124.1573,48.0,5.75
52,qaanaaq,99.0,GL,1615613908,67.0,77.484,-69.3632,-1.89,4.74
53,avarua,75.0,CK,1615613859,88.0,-21.2078,-159.775,77.0,5.75
54,zhanaozen,92.0,KZ,1615613908,41.0,43.3,52.8,25.38,12.93
55,georgetown,20.0,MY,1615613908,66.0,5.4112,100.3354,87.8,9.22
56,belushya guba,,,,,,,,
57,cape town,40.0,ZA,1615613856,88.0,-33.9258,18.4232,64.0,13.8
58,mahebourg,40.0,MU,1615613908,70.0,-20.4081,57.7,84.2,11.5
59,mataura,0.0,NZ,1615613909,64.0,-46.1927,168.8643,64.99,7.0
60,jamestown,1.0,US,1615613825,74.0,42.097,-79.2353,27.0,12.17
61,kenai,1.0,US,1615613909,52.0,60.5544,-151.2583,12.2,5.75
62,new norfolk,90.0,AU,1615613790,42.0,-42.7826,147.0587,68.0,21.85
63,samusu,,,,,,,,
64,baculin,57.0,PH,1615613909,85.0,7.4525,126.5842,83.1,9.44
65,grand forks,1.0,US,1615613648,100.0,47.9417,-97.4337,33.8,12.66
66,zhigansk,100.0,RU,1615613868,93.0,66.7697,123.3711,3.15,15.95
67,leningradskiy,100.0,RU,1615613829,86.0,69.3833,178.4167,18.9,9.93
68,port elizabeth,0.0,ZA,1615613740,88.0,-33.918,25.5701,71.6,4.61
69,nikolskoye,90.0,RU,1615613909,93.0,59.7035,30.7861,35.6,8.95
70,kamyshla,0.0,RU,1615613910,88.0,54.1169,52.1426,7.54,8.86
71,eyl,64.0,SO,1615613910,69.0,7.9803,49.8164,80.13,13.47
72,las vegas,90.0,US,1615613712,76.0,36.175,-115.1372,46.0,3.44
73,isangel,75.0,VU,1615613856,70.0,-19.55,169.2667,84.2,9.22
74,chesterton,1.0,US,1615613791,69.0,41.6106,-87.0642,36.0,6.91
75,hami,100.0,CN,1615613910,21.0,42.8,93.45,60.6,5.5
76,tazovskiy,98.0,RU,1615613910,88.0,67.4667,78.7,-6.12,21.14
77,umm durman,,,,,,,,
78,kahului,75.0,US,1615613911,94.0,20.8947,-156.47,71.6,19.57
79,umm kaddadah,51.0,SD,1615613911,15.0,13.6017,26.6876,79.56,28.68
80,dingle,94.0,PH,1615613911,86.0,10.9995,122.6711,80.02,8.77
81,hermanus,44.0,ZA,1615613911,88.0,-34.4187,19.2345,62.01,5.01
82,butaritari,75.0,KI,1615613912,76.0,3.0707,172.7902,81.55,11.27
83,marsh harbour,3.0,BS,1615613725,70.0,26.5412,-77.0636,70.63,14.12
84,inuvik,100.0,CA,1615613912,77.0,68.3499,-133.7218,-13.0,5.75
85,punta arenas,20.0,CL,1615613912,53.0,-53.15,-70.9167,46.4,11.5
86,skibbereen,75.0,IE,1615613912,93.0,51.55,-9.2667,35.6,23.02
87,bluff,0.0,NZ,1615613912,64.0,-46.6,168.3333,64.99,7.0
88,kapaa,75.0,US,1615613788,100.0,22.0752,-159.319,75.0,11.5
89,caravelas,0.0,BR,1615613913,85.0,-17.7125,-39.2481,71.17,4.38
90,taolanaro,,,,,,,,
91,pisco,40.0,PE,1615613906,94.0,-13.7,-76.2167,70.0,3.44
92,severo-kurilsk,94.0,RU,1615613841,79.0,50.6789,156.125,27.37,23.24
93,hay river,59.0,CA,1615613913,65.0,60.8156,-115.7999,-2.2,5.75
94,tabuk,91.0,PH,1615613913,75.0,17.4189,121.4443,79.32,5.39
95,puerto ayora,2.0,EC,1615613913,93.0,-0.7393,-90.3518,75.99,1.99
96,upernavik,15.0,GL,1615613914,64.0,72.7868,-56.1549,-2.79,2.42
97,mogadishu,40.0,SO,1615613914,69.0,2.0371,45.3438,80.6,9.22
98,torbay,1.0,CA,1615613914,80.0,47.6666,-52.7314,37.0,25.32
99,tsihombe,,,,,,,,
100,bac lieu,19.0,VN,1615613915,53.0,9.285,105.7244,87.19,18.34
101,beyneu,100.0,KZ,1615613915,47.0,45.3167,55.2,22.17,10.98
102,chokurdakh,0.0,RU,1615613915,95.0,70.6333,147.9167,-18.42,2.51
103,ouallam,1.0,NE,1615613915,18.0,14.3188,2.0866,70.2,11.18
104,poum,19.0,NC,1615613915,71.0,-20.2333,164.0167,80.64,11.72
105,ketchikan,90.0,US,1615613916,100.0,55.3422,-131.6461,33.8,9.22
106,kamenka,82.0,RU,1615613916,73.0,51.3223,42.7678,16.0,15.37
107,cherskiy,95.0,RU,1615613916,92.0,68.75,161.3,-7.02,17.47
108,iracoubo,100.0,GF,1615613916,92.0,5.4802,-53.2011,72.18,8.32
109,vila franca do campo,75.0,PT,1615613917,94.0,37.7167,-25.4333,57.2,9.22
110,hilo,75.0,US,1615613917,78.0,19.7297,-155.09,73.4,9.22
111,mayumba,99.0,GA,1615613906,84.0,-3.432,10.6554,77.09,4.18
112,berlevag,99.0,NO,1615613917,84.0,70.8578,29.0864,19.85,12.88
113,maniitsoq,100.0,GL,1615613865,84.0,65.4167,-52.9,14.31,9.44
114,faya,0.0,SA,1615613917,51.0,18.3851,42.4509,64.4,6.91
115,viedma,0.0,AR,1615613918,54.0,-40.8135,-62.9967,63.27,6.8
116,irece,15.0,BR,1615613918,73.0,-11.3042,-41.8558,64.69,7.94
117,huilong,60.0,CN,1615613918,68.0,31.8111,121.655,57.99,1.99
