,0
0,saint-philippe
1,ushuaia
2,ahipara
3,saint-gilles
4,zima
5,bengkulu
6,cape town
7,esperance
8,oliveira
9,vangaindrano
10,albany
11,anadyr
12,saint-joseph
13,umzimvubu
14,nishihara
15,dawei
16,punta arenas
17,ponta do sol
18,tawzar
19,bluff
20,butaritari
21,bambous virieux
22,busselton
23,mys shmidta
24,dera din panah
25,mar del plata
26,hilo
27,praia da vitoria
28,atuona
29,kiama
30,warrensburg
31,taolanaro
32,pindiga
33,puerto ayora
34,acapulco
35,rikitea
36,hay river
37,vaini
38,tasiilaq
39,fairbanks
40,kalmunai
41,umkomaas
42,barentsburg
43,aksu
44,huntingdon
45,upernavik
46,tuatapere
47,luderitz
48,east london
49,tsihombe
50,san vicente
51,chengde
52,tutova
53,chokurdakh
54,urfa
55,vaitupu
56,mulki
57,meridian
58,christchurch
59,okha
60,hermanus
61,hithadhoo
62,vila velha
63,san patricio
64,barrow
65,nago
66,chuy
67,port alfred
68,sao jose da coroa grande
69,alice springs
70,beloha
71,kawalu
72,wanning
73,ocampo
74,arraial do cabo
75,provideniya
76,jamestown
77,auki
78,brae
79,zhuhai
80,saint-francois
81,yulara
82,port elizabeth
83,bundaberg
84,lewistown
85,rio grande
86,georgetown
87,balabac
88,kruisfontein
89,hobart
90,jiuquan
91,skibbereen
92,mahebourg
93,siquirres
94,nikolskoye
95,genhe
96,mahendragarh
97,prince rupert
98,carnarvon
99,komsomolskiy
100,dudinka
101,sampit
102,vao
103,garissa
104,narsaq
105,wloclawek
106,khatanga
107,saskylakh
108,talcahuano
109,dikson
110,avarua
111,kapaa
112,te anau
113,northam
114,morant bay
115,karamea
116,lompoc
117,lorengau
118,haines junction
119,nyurba
120,longyearbyen
121,ixtapa
122,bargal
123,tuktoyaktuk
124,amderma
125,castro
126,ancud
127,sataua
128,bredasdorp
129,beba
130,tezu
131,itaueira
132,pisco
133,sibolga
134,belushya guba
135,gat
136,touros
137,katobu
138,tessalit
139,eufaula
140,aleksandrov gay
141,cranbrook
142,filadelfia
